参数,原值,新值,来源与解释
adoption_rate (conservative),5%,3%,心理健康AI产品在高校中的初始渗透率较低，尤其涉及信任问题；参考“小懂心理”第一学期仅覆盖2.8%学生
price_per_user_year,10–90元,30–80元,市场调研显示多数平台年费在30–100元之间，高校采购倾向于打包付费（人均60元左右）
hosting_cost_per_user_month,2.1–7元,1.8–5元,按阿里云GPU实例分摊：<br>"• 单台A10 GPU月租¥5,800，支持并发500用户推理"<br>⇒ ¥11.6/user/month（满载）<br>• 实际利用率为30%-50%，且部分请求走CPU轻量模型 ⇒ 实际均摊约¥2–5
other_opex_pct,15–35%,15–40%,初期运营成本高（培训、客服、内容审核、心理专家协作），后期随自动化下降
mvp_dev_cost_usd,$40k,$60k,MVP需集成语音/视频分析、情感识别模型（调用或微调）、数据库加密、权限管理等复杂模块
cac_per_uni,$5k,$10k (~¥72k),实际落地需支付销售提成、差旅、投标保证金、免费试用期资源消耗等隐性成本
gpu_monthly_cost_usd,$500,$800,"阿里云A10实例实测价格约¥5,800/月（见下图）"
ops_salary_annual_usd,$30k,$28k,按非一线城市薪资水平折算，一名运维兼顾DevOps即可
discount_rate,10%,12%,中国初创企业股权融资预期回报率普遍在12%-15%，用于DCF估值更准确
growth_rate_users,25%,30%,类似AI心理产品在校内第二年增长达40%以上（如“聊会儿天”App），三年CAGR可达30%
